Date, Open, High, Low, Close
06/22/12, 5566.27, 5566.27, 5499.97, 5513.69
06/21/12, 5622.15, 5622.15, 5564.79, 5566.36
06/20/12, 5586.36, 5623.85, 5566.00, 5622.29
06/19/12, 5491.03, 5603.14, 5491.03, 5586.31
06/18/12, 5478.97, 5555.32, 5461.08, 5491.09
06/15/12, 5467.26, 5522.87, 5465.09, 5478.81
06/14/12, 5483.66, 5483.70, 5424.40, 5467.05
06/13/12, 5473.80, 5507.65, 5436.67, 5483.81
06/12/12, 5432.44, 5478.63, 5414.64, 5473.74
06/11/12, 5435.40, 5536.27, 5419.56, 5432.37
06/08/12, 5447.65, 5447.65, 5381.83, 5435.08
06/07/12, 5384.23, 5494.54, 5384.23, 5447.79
06/06/12, 5261.31, 5388.03, 5260.81, 5384.11
06/05/12, 5260.19, 5354.45, 5229.76, 5260.19
06/04/12, 5260.19, 5354.45, 5229.76, 5260.19
06/01/12, 5321.01, 5354.45, 5229.76, 5260.19
05/31/12, 5297.39, 5352.05, 5272.66, 5320.86
05/30/12, 5391.13, 5391.13, 5284.42, 5297.28
05/29/12, 5356.61, 5404.66, 5342.46, 5391.14
05/28/12, 5351.73, 5413.83, 5341.34, 5356.34
05/25/12, 5350.28, 5385.17, 5312.20, 5351.53
05/24/12, 5267.90, 5371.75, 5266.88, 5350.05
05/23/12, 5403.14, 5403.67, 5262.90, 5266.41
05/22/12, 5304.56, 5408.65, 5304.56, 5403.28
05/21/12, 5267.58, 5324.36, 5253.92, 5304.48
05/18/12, 5338.11, 5338.11, 5256.61, 5267.62
05/17/12, 5405.69, 5413.32, 5309.75, 5338.38
05/16/12, 5437.46, 5448.38, 5354.00, 5405.25
05/15/12, 5465.58, 5507.65, 5411.82, 5437.62
05/14/12, 5575.65, 5575.65, 5436.69, 5465.52
05/11/12, 5543.96, 5585.50, 5499.27, 5575.52
05/10/12, 5530.73, 5566.14, 5490.54, 5543.95
05/09/12, 5554.95, 5571.71, 5464.41, 5530.05
05/08/12, 5654.53, 5668.09, 5550.09, 5554.55
05/07/12, 5655.06, 5766.45, 5639.79, 5655.06
05/04/12, 5766.45, 5766.45, 5639.79, 5655.06
05/03/12, 5758.71, 5800.81, 5745.23, 5766.55
05/02/12, 5812.65, 5819.93, 5736.64, 5758.11
05/01/12, 5737.81, 5819.00, 5732.16, 5812.23
04/30/12, 5777.01, 5792.97, 5728.87, 5737.78
04/27/12, 5748.53, 5788.99, 5707.95, 5777.11
04/26/12, 5719.17, 5761.14, 5691.72, 5748.72
04/25/12, 5709.70, 5745.00, 5703.21, 5718.89
04/24/12, 5665.85, 5714.17, 5658.49, 5709.49
04/23/12, 5772.08, 5772.08, 5637.73, 5665.57
04/20/12, 5744.57, 5775.67, 5724.20, 5772.15
04/19/12, 5745.28, 5792.07, 5738.11, 5744.55
04/18/12, 5766.48, 5783.88, 5730.91, 5745.29
04/17/12, 5664.67, 5773.73, 5651.53, 5766.95
04/16/12, 5651.41, 5707.96, 5641.07, 5666.28
04/13/12, 5710.26, 5710.82, 5643.51, 5651.79
04/12/12, 5635.06, 5727.87, 5602.56, 5710.46
04/11/12, 5595.48, 5655.87, 5576.37, 5634.74
04/10/12, 5723.50, 5723.50, 5595.55, 5595.55
04/09/12, 5723.67, 5731.67, 5663.32, 5723.67
04/06/12, 5723.67, 5731.67, 5663.32, 5723.67
04/05/12, 5703.76, 5731.67, 5663.32, 5723.67
04/04/12, 5838.19, 5838.22, 5685.65, 5703.77
04/03/12, 5874.86, 5890.16, 5838.34, 5838.34
04/02/12, 5771.54, 5874.89, 5748.63, 5874.89
03/30/12, 5742.17, 5782.71, 5742.10, 5768.45
03/29/12, 5808.94, 5812.17, 5726.50, 5742.03
03/28/12, 5869.50, 5877.94, 5808.99, 5808.99
03/27/12, 5902.72, 5941.90, 5863.83, 5869.55
03/26/12, 5855.35, 5913.06, 5854.47, 5902.70
03/23/12, 5845.61, 5875.73, 5801.72, 5854.89
03/22/12, 5890.75, 5890.78, 5825.91, 5845.65
03/21/12, 5891.44, 5921.68, 5880.79, 5891.95
03/20/12, 5961.07, 5961.07, 5876.42, 5891.41
03/19/12, 5965.60, 5968.89, 5928.45, 5961.11
03/16/12, 5941.10, 5974.05, 5941.03, 5965.58
03/15/12, 5945.45, 5958.17, 5919.21, 5940.72
03/14/12, 5959.15, 5989.07, 5945.43, 5945.43
03/13/12, 5893.43, 5957.94, 5893.43, 5955.91
03/12/12, 5887.48, 5894.07, 5860.42, 5892.75
03/09/12, 5859.70, 5897.60, 5842.94, 5887.49
03/08/12, 5791.44, 5874.34, 5791.44, 5859.73
03/07/12, 5765.82, 5801.12, 5755.69, 5791.41
03/06/12, 5874.34, 5874.34, 5758.42, 5765.80
03/05/12, 5911.01, 5911.03, 5865.38, 5874.82
03/02/12, 5931.59, 5939.97, 5908.48, 5911.13
03/01/12, 5872.30, 5936.07, 5858.85, 5931.25
02/29/12, 5927.88, 5944.75, 5871.51, 5871.51
02/28/12, 5916.09, 5937.02, 5899.99, 5927.91
02/27/12, 5934.98, 5935.00, 5865.85, 5915.55
02/24/12, 5937.90, 5964.02, 5925.47, 5935.13
02/23/12, 5916.48, 5952.47, 5900.50, 5937.89
02/22/12, 5927.71, 5937.96, 5894.60, 5916.55
02/21/12, 5945.23, 5948.84, 5916.58, 5928.20
02/20/12, 5905.22, 5956.33, 5905.14, 5945.25
02/17/12, 5885.46, 5923.62, 5885.46, 5905.07
02/16/12, 5892.36, 5892.36, 5829.38, 5885.38
02/15/12, 5899.93, 5923.78, 5880.62, 5892.16
02/14/12, 5905.51, 5920.61, 5877.21, 5899.87
02/13/12, 5852.54, 5920.09, 5852.54, 5905.70
02/10/12, 5895.36, 5895.36, 5839.85, 5852.39
02/09/12, 5875.80, 5916.31, 5870.55, 5895.47
02/08/12, 5890.28, 5916.20, 5871.33, 5875.93
02/07/12, 5891.96, 5906.65, 5850.49, 5890.26
02/06/12, 5901.04, 5901.04, 5863.55, 5892.20
02/03/12, 5796.06, 5901.07, 5784.23, 5901.07
02/02/12, 5790.73, 5809.82, 5765.72, 5796.07
02/01/12, 5681.65, 5790.72, 5680.67, 5790.72
01/31/12, 5671.14, 5730.32, 5671.14, 5681.61
