Date,Price,Open,High,Low,Vol.,Change %
2001-10-25,"5,086.60","5,167.60","5,217.00","5,043.20",,-1.57%
2001-10-26,"5,188.60","5,086.60","5,188.60","5,086.60",,2.01%
2001-10-29,"5,085.90","5,188.60","5,188.60","5,083.30",,-1.98%
2001-10-30,"5,003.60","5,085.90","5,085.90","4,977.30",,-1.62%
2001-10-31,"5,039.70","5,003.60","5,101.10","4,954.90",,0.72%
2001-11-01,"5,071.20","5,039.70","5,071.20","4,988.30",,0.63%
2001-11-02,"5,129.50","5,071.20","5,129.50","5,071.20",,1.15%
2001-11-05,"5,209.10","5,129.50","5,213.80","5,124.00",,1.55%
2001-11-06,"5,214.10","5,209.10","5,272.50","5,184.80",,0.10%
2001-11-07,"5,216.30","5,214.10","5,246.40","5,153.30",,0.04%
2001-11-08,"5,278.10","5,216.30","5,294.60","5,208.40",,1.18%
2001-11-09,"5,244.20","5,278.10","5,278.10","5,222.80",,-0.64%
2001-11-12,"5,146.20","5,244.20","5,251.80","5,065.30",,-1.87%
2001-11-13,"5,277.10","5,146.20","5,284.30","5,146.20",,2.54%
2001-11-14,"5,240.70","5,277.10","5,366.40","5,214.30",,-0.69%
2001-11-15,"5,238.20","5,240.70","5,297.10","5,193.40",,-0.05%
2001-11-16,"5,291.00","5,238.20","5,313.80","5,226.10",,1.01%
2001-11-19,"5,338.00","5,291.00","5,383.20","5,285.60",,0.89%
2001-11-20,"5,298.70","5,338.00","5,344.30","5,283.50",,-0.74%
2001-11-21,"5,313.80","5,298.70","5,367.60","5,272.10",,0.28%
2001-11-22,"5,345.90","5,313.80","5,362.60","5,313.80",,0.60%
2001-11-23,"5,293.20","5,345.90","5,358.50","5,220.80",,-0.99%
2001-11-26,"5,302.50","5,293.20","5,346.00","5,273.00",,0.18%
2001-11-27,"5,266.00","5,302.50","5,332.50","5,232.80",,-0.69%
2001-11-28,"5,205.20","5,266.00","5,283.30","5,182.20",,-1.15%
2001-11-29,"5,208.50","5,205.20","5,213.20","5,152.10",,0.06%
2001-11-30,"5,203.60","5,208.50","5,216.90","5,146.50",,-0.09%
2001-12-03,"5,164.60","5,203.60","5,203.60","5,152.30",,-0.75%
2001-12-04,"5,212.10","5,164.60","5,218.60","5,164.60",,0.92%
2001-12-05,"5,333.50","5,212.10","5,338.20","5,212.10",,2.33%
2001-12-06,"5,369.80","5,333.50","5,411.20","5,327.30",,0.68%
2001-12-07,"5,264.70","5,369.80","5,388.80","5,258.70",,-1.96%
2001-12-10,"5,185.00","5,264.70","5,276.20","5,172.20",,-1.51%
2001-12-11,"5,160.80","5,185.00","5,194.40","5,143.80",,-0.47%
2001-12-12,"5,120.00","5,160.80","5,181.70","5,106.00",,-0.79%
2001-12-13,"5,074.90","5,120.00","5,134.10","5,035.80",,-0.88%
2001-12-14,"5,061.00","5,074.90","5,092.30","5,032.30",,-0.27%
2001-12-17,"5,136.30","5,061.00","5,151.00","5,038.20",,1.49%
2001-12-18,"5,151.10","5,136.30","5,181.90","5,124.90",,0.29%
2001-12-19,"5,120.60","5,151.10","5,157.80","5,091.40",,-0.59%
2001-12-20,"5,080.20","5,120.60","5,151.00","5,080.10",,-0.79%
2001-12-21,"5,159.20","5,080.20","5,182.20","5,044.30",,1.56%
2001-12-24,"5,177.40","5,159.20","5,177.40","5,147.20",,0.35%
2001-12-27,"5,213.20","5,177.40","5,213.20","5,160.80",,0.69%
2001-12-28,"5,242.40","5,213.20","5,243.70","5,196.00",,0.56%
2001-12-31,"5,217.40","5,242.40","5,258.00","5,203.60",,-0.48%
2002-01-02,"5,218.30","5,217.40","5,261.90","5,195.20",,0.02%
2002-01-03,"5,318.80","5,218.30","5,328.40","5,218.30",,1.93%
